16進位	16进制
營運長。	首席运营官。
營運長，	首席运营官，
爛帳	烂账
爭著	争着
爭著作	争著作
爭著名	争著名
爭著書	争著书
爭著稱	争著称
爭著者	争著者
爭著述	争著述
爭著錄	争著录
片語	词组
牽著	牵着
牽著作	牵著作
牽著名	牵著名
牽著書	牵著书
牽著稱	牵著称
牽著者	牵著者
牽著述	牵著述
牽著錄	牵著录
狂牛症	疯牛病
狄托	铁托
狗隻	犬只
猜著	猜着
猜著作	猜著作
猜著名	猜著名
猜著書	猜着书
猜著稱	猜著称
猜著者	猜著者
猜著述	猜著述
猜著錄	猜著录
猶豫著	犹豫着
獅子山共和國	塞拉利昂共和国
獨立國協	独联体
獨立國家國協	独立国家联合体
獲著	获着
獲著作	获著作
獲著名	获著名
獲著書	获著书
獲著稱	获著称
獲著者	获著者
獲著述	获著述
獲著錄	获著录
玩著	玩着
玻利維亞多民族國	多民族玻利维亚国
玻里尼西亞	波利尼西亚
班傑明	本杰明
班固著	班固著
瓜地馬拉	危地马拉
瓦倫西亞	巴伦西亚
甘比亞	冈比亚
甘迺迪	肯尼迪
甚麼	什么
甚麽	什么
甜著	甜着
甜著作	甜著作
甜著名	甜著名
甜著書	甜著书
甜著稱	甜著称
甜著者	甜著者
甜著述	甜著述
甜著錄	甜著录
用著	用着
用著作	用著作
用著名	用著名
用著書	用著书
用著稱	用著称
用著者	用著者
用著述	用著述
用著錄	用著录
留尼旺	留尼汪
留著	留着
留著作	留著作
留著名	留著名
留著書	留着书
留著稱	留著称
留著者	留著者
留著述	留著述
留著錄	留著录
畢卡索	毕加索
畫著	画着
畫著作	画著作
畫著名	画著名
畫著稱	画著称
畫著者	画著者
當勞·特朗普	唐纳德·特朗普
當奴·特朗普	唐纳德·特朗普
當著	当着
當著作	当著作
當著名	当著名
當著書	当著书
當著稱	当著称
當著者	当著者
當著述	当著述
當著錄	当著录
畿內亞	几内亚
疊代	迭代
疑著	疑着
疑著作	疑著作
疑著名	疑著名
疑著書	疑著书
疑著稱	疑著称
疑著者	疑著者
疑著述	疑著述
疑著錄	疑著录
瘋牛症	疯牛病
發著	发着
發著《	发著《
發著作	发著作
發著名	发著名
發著稱	发著称
發著者	发著者
白朗寧	勃朗宁
百慕達	百慕大
皮雅斯·布士南	皮尔斯·布鲁斯南
皺著	皱着
皺著作	皱著作
皺著名	皱著名
皺著書	皱著书
皺著稱	皱著称
皺著者	皱著者
皺著述	皱著述
皺著錄	皱著录
盛著	盛着
盛著作	盛著作
盛著名	盛著名
盛著書	盛著书
盛著稱	盛著称
盛著者	盛著者
盛著述	盛著述
盛著錄	盛著录
盧安達	卢旺达
盯著	盯着
盯著作	盯著作
盯著名	盯著名
盯著書	盯着书
盯著稱	盯著称
盯著者	盯著者
盯著述	盯著述
盯著錄	盯著录
看著	看着
看著作	看著作
看著名	看著名
看著書	看着书
看著稱	看著称
看著者	看著者
看著述	看著述
看著錄	看著录
真人騷	真人秀
睡著	睡着
睡著作	睡著作
睡著名	睡著名
睡著書	睡著书
睡著稱	睡著称
睡著者	睡著者
睡著述	睡著述
睡著錄	睡著录
瞞著	瞒着
瞞著作	瞒著作
瞞著名	瞒著名
瞞著書	瞒著书
瞞著稱	瞒著称
瞞著者	瞒著者
瞞著述	瞒著述
瞞著錄	瞒著录
瞧著	瞧着
瞧著作	瞧著作
瞧著名	瞧著名
瞧著書	瞧着书
瞧著稱	瞧著称
瞧著者	瞧著者
瞧著述	瞧著述
瞧著錄	瞧著录
瞪著	瞪着
瞪著作	瞪著作
瞪著名	瞪著名
瞪著書	瞪著书
瞪著稱	瞪著称
瞪著者	瞪著者
瞪著述	瞪著述
瞪著錄	瞪著录
矛盾著	矛盾着
知識份子	知识分子
矽	硅
矽塵	矽尘
矽尘	矽尘
矽片	硅片
矽肺	矽肺
矽谷	硅谷
矽鋼	矽钢
矽钢	矽钢
硬碟	硬盘
硬體	硬件
碧咸	贝克汉姆
磁碟	磁盘
磁軌	磁道
祖雲達斯	尤文图斯
福著	福着
福著作	福著作
福著名	福著名
福著書	福著书
福著稱	福著称
福著者	福著者
福著述	福著述
福著錄	福著录
福馬林	福尔马林
私帳	私账
私隱	隐私
程式控制	程控
程式設計師	程序员
積架	捷豹
積極份子	积极分子
穫著	获着
空中巴士	空中客车
空氣品質	空气质量
空氣質素	空气质量
空著	空着
空著作	空著作
空著名	空著名
空著書	空著书
空著稱	空著称
空著者	空著者
空著述	空著述
空著錄	空著录
穿梭機	航天飞机
穿著	穿着
穿著作	穿著作
穿著名	穿著名
穿著書	穿著书
穿著稱	穿著称
穿著者	穿著者
穿著述	穿著述
穿著錄	穿著录
突尼西亞	突尼斯
立著	立着
立著《	立著《
立著作	立著作
立著名	立著名
立著有	立著有
立著称	立著称
立著稱	立著称
立著者	立著者
立著（	立著（
站著	站着
站著作	站著作
站著名	站著名
站著書	站著书
站著稱	站著称
站著者	站著者
站著述	站著述
站著錄	站著录
笑著	笑着
笑著作	笑著作
笑著名	笑著名
笑著書	笑著书
笑著稱	笑著称
笑著者	笑著者
笑著述	笑著述
笑著錄	笑著录
笨豬跳	蹦极跳
筆帳	笔账
算帳	算账
管帳	管账
管著	管着
管著作	管著作
管著名	管著名
管著書	管著书
管著稱	管著称
管著者	管著者
管著述	管著述
管著錄	管著录
簽帳	签账
簽著	签着
米高·奧雲	迈克尔·欧文
糊塗帳	糊涂账
糖份	糖分
紀錄著	纪录着
約翰尼斯堡	约翰内斯堡
紐幾內亞	新几内亚
紐澤西	新泽西
紐西蘭	新西兰
索忍尼辛	索尔仁尼琴
索羅門群島	所罗门群岛
索贊尼辛	索尔仁尼琴
索馬利亞	索马里
索馬利蘭	索马里兰
紮著	扎着
紮著作	扎著作
紮著名	扎著名
紮著書	扎著书
紮著稱	扎著称
紮著者	扎著者
紮著述	扎著述
紮著錄	扎著录
組份	组分
結他	吉他
結帳	结账
綁著	绑着
綁著作	绑著作
綁著名	绑著名
綁著書	绑著书
綁著稱	绑著称
綁著者	绑著者
綁著述	绑著述
綁著錄	绑著录
經常帳	经常账
經濟帳	经济账
維德角	佛得角
維根斯坦	维特根斯坦
網域名稱	域名
網站連結	网站链接
網路	网络
網際網絡	互联网
網際網路	互联网
網頁連結	网页链接
緣份	缘分
縱著	纵着
總帳	总账
繃著	绷着
織著	织着
繞著	绕着
繞著作	绕著作
繞著名	绕著名
繞著書	绕著书
繞著稱	绕著称
繞著者	绕著者
繞著述	绕著述
繞著錄	绕著录
繪著	绘着
繪著。	绘著。
繪著名	绘著名
繪著称	绘著称
繪著稱	绘著称
繪著，	绘著，
繫著	系着
纏著	缠着
纏著作	缠著作
纏著名	缠著名
纏著書	缠著书
纏著稱	缠著称
纏著者	缠著者
纏著述	缠著述
纏著錄	缠著录
绑紧跳	蹦极跳
罩著	罩着
罩著作	罩著作
罩著名	罩著名
罩著書	罩著书
罩著稱	罩著称
罩著者	罩著者
罩著述	罩著述
罩著錄	罩著录
罵著	骂着
罵著作	骂著作
罵著名	骂著名
罵著書	骂著书
罵著稱	骂著称
罵著者	骂著者
罵著述	骂著述
罵著錄	骂著录
羅亞爾	卢瓦尔
羅浮宮	卢浮宫
羅蘋	罗宾
美著	美着
美著作	美著作
美著名	美著名
美著書	美著书
美著称	美著称
美著稱	美著称
美著者	美著者
美著述	美著述
美著錄	美著录
義大利	意大利
義裔	意裔
翁山蘇姬	昂山素季
耀著	耀着
耀著作	耀著作
耀著名	耀著名
耀著書	耀著书
耀著稱	耀著称
耀著者	耀著者
耀著述	耀著述
耀著錄	耀著录
考著	考着
考著作	考著作
考著名	考著名
考著書	考著书
考著稱	考著称
考著者	考著者
考著述	考著述
考著錄	考著录
耶加達	雅加达
聖佐治	圣乔治
聖克里斯多福及尼維斯	圣基茨和尼维斯
聖吉斯納域斯	圣基茨和尼维斯
聖地牙哥	圣地亚哥
聖多美普林西比	圣多美和普林西比
聖文森及格瑞那丁	圣文森特和格林纳丁斯
聖文森國	圣文森特和格林纳丁斯
聖露西亞	圣卢西亚
聖馬利諾	圣马力诺
聞著	闻着
職份	职分
聽著	听着
聽著作	听著作
聽著名	听著名
聽著書	听著书
聽著稱	听著称
聽著者	听著者
聽著述	听著述
聽著錄	听著录
背著	背着
背著作	背著作
背著名	背著名
背著書	背著书
背著稱	背著称
背著者	背著者
背著述	背著述
背著錄	背著录
胺基酸	氨基酸
膠著	胶着
膠著作	胶著作
膠著名	胶著名
膠著書	胶著书
膠著稱	胶著称
膠著者	胶著者
膠著述	胶著述
膠著錄	胶著录
臨著	临着
臨著作	临著作
臨著名	临著名
臨著書	临著书
臨著稱	临著称
臨著者	临著者
臨著述	临著述
臨著錄	临著录
與著	与着
與著作	与著作
與著名	与著名
與著書	与著书
與著稱	与著称
與著者	与著者
與著述	与著述
與著錄	与著录
舊帳	旧账
舒麥加	舒马赫
艾菲爾	埃菲尔
芮氏0	里氏0
芮氏1	里氏1
芮氏2	里氏2
芮氏3	里氏3
芮氏4	里氏4
芮氏5	里氏5
芮氏6	里氏6
芮氏7	里氏7
芮氏8	里氏8
芮氏9	里氏9
芮氏地震規模	里氏地震规模
芮氏規模	里氏震级
若且唯若	当且仅当
苦著	苦着
苦著作	苦著作
苦著名	苦著名
苦著書	苦著书
苦著稱	苦著称
苦著者	苦著者
苦著述	苦著述
苦著錄	苦著录
英吋	英寸
英呎	英尺
茅利塔尼亞	毛里塔尼亚
荷姆茲	霍尔木兹
荷尼阿拉	霍尼亚拉
荷里活	好莱坞
荷里活廣場	荷里活广场
荷里活道	荷里活道
莫三比克	莫桑比克
莫士比港	莫尔斯比港
菁寮	菁寮
菫	堇
華倫西亞	巴伦西亚
華勒沙	瓦文萨
華里沙	瓦文萨
萌島	马恩岛
萬那杜	瓦努阿图
落著	落着
落著作	落著作
落著名	落著名
落著書	落著书
落著稱	落著称
落著者	落著者
落著述	落著述
落著錄	落著录
落車	下车
葉里溫	埃里温
葉門	也门
著人	着人
著什	着什
著他	着他
著令	着令
著位	着位
著你	着你
著便	着便
著力	着力
著勁	着劲
著呢	着呢
著哩	着哩
著地	着地
著墨	着墨
著她	着她
著妳	着妳
著它	着它
著定	着定
著實	着实
著己	着己
著帳	着帐
著床	着床
著庸	着庸
著式	着式
著心	着心
著志	着志
著忙	着忙
著急	着急
著惱	着恼
著想	着想
著意	着意
著慌	着慌
著我	着我
著手	着手
著抹	着抹
著摸	着摸
著撰	着撰
著數	着数
著明	着明
著末	着末
著格	着格
著棋	着棋
著業	着业
著極	着极
著槁	着藁
著氣	着气
著法	着法
著涼	着凉
著淺	着浅
著火	着火
著然	着然
著甚	着甚
著甚麼	着什么
著生	着生
著疑	着疑
著白	着白
著相	着相
著眼	着眼
著祂	着祂
著稿	着稿
著積	着积
著筆	着笔
著節	着节
著籍	着籍
著絆	着绊
著絲	着丝
著綠	着绿
著緊	着紧
著緋	着绯
著緑	着緑
著績	着绩
著聞	着闻
著聲	着声
著肉	着肉
著腳	着脚
著艦	着舰
著色	着色
著花	着花
著莫	着莫
著落	着落
著著	着着
著處	着处
著號	着号
著衣	着衣
著裝	着装
著要	着要
著警	着警
著趣	着趣
著跡	着迹
著迷	着迷
著邊	着边
著重	着重
著錄	着录
著録	着録
著陸	着陆
著雝	着雝
著鞭	着鞭
著題	着题
著驚	着惊
著體	着体
著魔	着魔
著麼	着么
葛摩	科摩罗
葛萊美獎	格莱美奖
蒙特內哥羅	黑山
蒙特婁	蒙特利尔
蒙著	蒙着
蒙著作	蒙著作
蒙著名	蒙著名
蒙著書	蒙著书
蒙著稱	蒙著称
蒙著者	蒙著者
蒙著述	蒙著述
蒙著錄	蒙著录
蒲朗克	普朗克
蒲美蓬	普密蓬
蒲隆地	布隆迪
蓋亞那	圭亚那
蓋著	盖着
蓋著作	盖著作
蓋著名	盖著名
蓋著稱	盖著称
蓋達組織	基地组织
蕭士塔高維奇	肖斯塔科维奇
蕭士達高維契	肖斯塔科维奇
薛丁格	薛定谔
藉著	借着
藍芽	蓝牙
藏著	藏着
藏著作	藏著作
藏著名	藏著名
藏著書	藏著书
藏著稱	藏著称
藏著者	藏著者
藏著述	藏著述
藏著錄	藏著录
蘇利南	苏里南
蘇辛尼津	索尔仁尼琴
蘊涵著	蕴涵着
蘭卡威	浮罗交怡
蘸著	蘸着
蘸著作	蘸著作
蘸著名	蘸著名
蘸著書	蘸著书
蘸著稱	蘸著称
蘸著者	蘸著者
蘸著述	蘸著述
蘸著錄	蘸著录
蘿拉	劳拉
虛擬實境	虚拟现实
蚵寮	蚵寮
螢光棒	荧光棒
螢屏	荧屏
行人路	人行道
行人路权	行人路权
行人路權	行人路权
行動作業系統	移动操作系统
行動應用程式	移动应用程序
行動支付	移动支付
行動網路	移动网络
行動裝置	移动设备
行動電話	移动电话
行政總裁	首席执行官
行著	行着
行著作	行著作
行著名	行著名
行著書	行著书
行著稱	行著称
行著者	行著者
行著述	行著述
行著錄	行著录
衝著	冲着
衣索匹亞	埃塞俄比亚
衣索比亞	埃塞俄比亚
衣著	衣着
衣著作	衣著作
衣著名	衣著名
衣著書	衣著书
衣著称	衣著称
衣著稱	衣著称
衣著者	衣著者
衣著述	衣著述
衣著錄	衣著录
表姊	表姐
裝著	装着
裝著作	装著作
裝著名	装著名
裝著書	装著书
裝著稱	装著称
裝著者	装著者
裝著述	装著述
裝著錄	装著录
裹著	裹着
裹著作	裹著作
裹著名	裹著名
裹著書	裹著书
裹著稱	裹著称
裹著者	裹著者
裹著述	裹著述
裹著錄	裹著录
複製人	克隆人
西元1	公元1
西元2	公元2
西元3	公元3
西元4	公元4
西元5	公元5
西元6	公元6
西元7	公元7
西元8	公元8
西元9	公元9
西元前	公元前
西洋棋	国际象棋
西維爾	塞维利亚
西臺人	赫梯人
西臺國	赫梯国
西臺帝	赫梯帝
西臺文	赫梯文
西臺族	赫梯族
西臺王	赫梯王
西臺語	赫梯语
要帳	要账
覆著	覆着
覆蓋著	覆盖着
見著	见着
見著作	见著作
見著名	见著名
見著書	见著书
見著稱	见著称
見著者	见著者
見著述	见著述
見著錄	见著录
規畫	规划
視著	视着
視著作	视著作
視著名	视著名
視著稱	视著称
視著者	视著者
解像度	分辨率
解析度	分辨率
計畫	计划
記帳	记账
記憶體	内存
記著	记着
記著作	记著作
記著名	记著名
記著書	记著书
記著稱	记著称
記著者	记著者
記著述	记著述
記著錄	记著录
記錄著	记录着
試著	试着
試著作	试著作
試著名	试著名
試著書	试著书
試著稱	试著称
試著者	试著者
試著述	试著述
試著錄	试著录
認帳	认账
語著	语着
語著作	语著作
語著名	语著名
語著書	语著书
語著稱	语著称
語著者	语著者
語著述	语著述
語著錄	语著录
說著	说着
說著作	说著作
說著稱	说著称
說著者	说著者
說著述	说著述
諮	咨
諾曼第	诺曼底
警戒著	警戒着
護著	护着
護著作	护著作
護著名	护著名
護著書	护著书
護著稱	护著称
護著者	护著者
護著述	护著述
護著錄	护著录
變著	变着
變著作	变著作
變著名	变著名
變著書	变著书
變著稱	变著称
變著者	变著者
變著述	变著述
變著錄	变著录
豎著	竖着
豎著作	竖著作
豎著名	竖著名
豎著書	竖著书
豎著稱	竖著称
豎著者	竖著者
豎著述	竖著述
豎著錄	竖著录
象徵著	象征着
象徵著名	象征著名
象牙海岸	科特迪瓦
貝南共和國	贝宁共和国
貝爾格勒	贝尔格莱德
貝里斯	伯利兹
負著	负着
財務長、	首席财务官、
財務長。	首席财务官。
財務長，	首席财务官，
貢寮	贡寮
買帳	买账
資料庫	数据库
資訊時代	信息时代
資訊理論	信息论
賈伯斯	乔布斯
賒帳	赊账
賓·拉登	本·拉登
賓士	奔驰
賓拉登	本拉登
賴帳	赖账
賴比瑞亞	利比里亚
賴索托	莱索托
賽普勒斯	塞浦路斯
赫魯雪夫	赫鲁晓夫
走為上著	走为上着
走著	走着
走著作	走著作
走著名	走著名
走著書	走著书
走著稱	走著称
走著者	走著者
走著述	走著述
走著錄	走著录
趁著	趁着
超連結	超链接
趕著	赶着
趕著作	赶著作
趕著名	赶著名
趕著書	赶著书
趕著稱	赶著称
趕著者	赶著者
趕著述	赶著述
趕著錄	赶著录
趴著	趴着
趴著作	趴著作
趴著名	趴著名
趴著書	趴著书
趴著稱	趴著称
趴著者	趴著者
趴著述	趴著述
趴著錄	趴著录
跑著	跑着
跑著作	跑著作
跑著名	跑著名
跑著書	跑著书
跑著稱	跑著称
跑著者	跑著者
跑著述	跑著述
跑著錄	跑著录
跟著	跟着
跟著作	跟著作
跟著名	跟著名
跟著書	跟著书
跟著稱	跟著称
跟著者	跟著者
跟著述	跟著述
跟著錄	跟著录
跪著	跪着
跪著作	跪著作
跪著名	跪著名
跪著書	跪著书
跪著稱	跪著称
跪著者	跪著者
跪著述	跪著述
跪著錄	跪著录
跳著	跳着
跳著作	跳著作
跳著名	跳著名
跳著書	跳著书
跳著稱	跳著称
跳著者	跳著者
跳著述	跳著述
跳著錄	跳著录
踏著	踏着
踏著作	踏著作
踏著名	踏著名
踏著書	踏著书
踏著稱	踏著称
踏著者	踏著者
踏著述	踏著述
踏著錄	踏著录
踩著	踩着
踩著作	踩著作
踩著名	踩著名
踩著書	踩著书
踩著稱	踩著称
踩著者	踩著者
踩著述	踩著述
踩著錄	踩著录
躍著	跃着
躍著作	跃著作
躍著名	跃著名
躍著書	跃著书
躍著稱	跃著称
躍著者	跃著者
躍著述	跃著述
躍著錄	跃著录
身份	身份
身分	身份
身著	身着
身著作	身著作
身著名	身著名
身著書	身著书
身著稱	身著称
身著者	身著者
身著述	身著述
身著錄	身著录
躺著	躺着
躺著作	躺著作
躺著名	躺著名
躺著書	躺著书
躺著稱	躺著称
躺著者	躺著者
躺著述	躺著述
躺著錄	躺著录
車諾比	切尔诺贝利
軟碟機	软驱
軟體	软件
軟體動物	软体动物
軟體家具	软体家具
軟體生物	软体生物
載著	载着
載著作	载著作
載著名	载著名
載著書	载著书
載著稱	载著称
載著者	载著者
載著述	载著述
載著錄	载著录
轉帳	转账
轉殖	克隆
轉著	转着
轉著作	转著作
轉著名	转著名
轉著書	转著书
轉著稱	转著称
轉著者	转著者
轉著述	转著述
轉著錄	转著录
辛巴威	津巴布韦
辛康納利	肖恩·康纳利
辦著	办着
辦著作	办著作
辦著名	办著名
辦著書	办著书
辦著稱	办著称
辦著者	办著者
辦著述	办著述
辦著錄	办著录
迦納	加纳
迫著	迫着
迴圈	循环
追著	追着
追著作	追著作
追著名	追著名
追著書	追著书
追著稱	追著称
追著者	追著者
追著述	追著述
追著錄	追著录
逆著	逆着
逆著作	逆著作
逆著名	逆著名
逆著書	逆著书
逆著稱	逆著称
逆著者	逆著者
逆著述	逆著述
逆著錄	逆著录
逕入	径入
逕到	径到
逕取	径取
逕啟	径启
逕寄	径寄
逕庭	径庭
逕往	径往
逕流	径流
逕自	径自
逕行	径行
逕迎	径迎
連結他	连结他
連著	连着
連著作	连著作
連著名	连著名
連著書	连著书
連著稱	连著称
連著者	连著者
連著述	连著述
連著錄	连著录
進帳	进账
逼著	逼着
逼著作	逼著作
逼著名	逼著名
逼著書	逼著书
逼著稱	逼著称
逼著者	逼著者
逼著述	逼著述
逼著錄	逼著录
遇著	遇着
遇著作	遇著作
遇著名	遇著名
遇著書	遇著书
遇著称	遇著称
遇著稱	遇著称
遇著者	遇著者
遇著述	遇著述
遇著錄	遇著录
運算元	算子
遍佈著	遍布着
遍布著	遍布着
過份	过分
過著	过着
過著作	过著作
過著名	过著名
過著稱	过著称
過著者	过著者
過著述	过著述
過著錄	过著录
道瓊	道琼斯
道瓊斯	道琼斯
達·文西	达·芬奇
達文西	达芬奇
達著	达着
達著作	达著作
達著名	达著名
達著書	达著书
達著稱	达著称
達著者	达著者
達著述	达著述
達著錄	达著录
還帳	还账
邱吉爾	丘吉尔
部份	部分
都卜勒	多普勒
配合著	配合着
配合著名	配合著名
配著	配着
配著作	配著作
配著名	配著名
配著書	配著书
配著稱	配著称
配著者	配著者
配著述	配著述
配著錄	配著录
醜著	丑着
醜著作	丑著作
醜著名	丑著名
醜著書	丑著书
醜著稱	丑著称
醜著者	丑著者
醜著述	丑著述
醜著錄	丑著录
釀著	酿着
釀著作	酿著作
釀著名	酿著名
釀著書	酿著书
釀著稱	酿著称
釀著者	酿著者
釀著述	酿著述
釀著錄	酿著录
金夏沙	金沙萨
金氏世界紀錄	吉尼斯世界纪录
鈽	钚
鉲	锎
鉳	锫
銷帳	销账
鋂	镅
鋪著	铺着
鋪著作	铺著作
鋪著名	铺著名
鋪著書	铺著书
鋪著稱	铺著称
鋪著者	铺著者
鋪著述	铺著述
鋪著錄	铺著录
錄影帶	录像带
錼	镎
鍅	钫
鎝	锝
鏈結	链接
鐵達尼號	泰坦尼克号
鑀	锿
閉著	闭着
閉著作	闭著作
閉著名	闭著名
閉著書	闭著书
閉著稱	闭著称
閉著者	闭著者
閉著述	闭著述
閉著錄	闭著录
開帳	开账
開機率	开机率
開著	开着
開著作	开著作
開著名	开著名
開著書	开著书
開著稱	开著称
開著者	开著者
開著述	开著述
開著錄	开著录
閑著	闲着
閑著作	闲著作
閑著名	闲著名
閑著書	闲著书
閑著稱	闲著称
閑著者	闲著者
閑著述	闲著述
閑著錄	闲著录
閒著	闲着
關係著	关系着
關帳	关账
關著	关着
關著作	关著作
關著名	关著名
關著書	关著书
關著稱	关著称
關著者	关著者
關著述	关著述
關著錄	关著录
阿布達比	阿布扎比
阿拉伯聯合大公國	阿拉伯联合酋长国
阿爾蓋達組織	基地组织
阿迪斯阿貝巴	亚的斯亚贝巴
附著	附着
附著作	附著作
附著名	附著名
附著書	附著书
附著稱	附著称
附著者	附著者
附著述	附著述
附著錄	附著录
陋著	陋着
陋著作	陋著作
陋著名	陋著名
陋著書	陋著书
陋著稱	陋著称
陋著者	陋著者
陋著述	陋著述
陋著錄	陋著录
陪著	陪着
陪著作	陪著作
陪著名	陪著名
陪著書	陪著书
陪著稱	陪著称
陪著者	陪著者
陪著述	陪著述
陪著錄	陪著录
隔著	隔着
隔著作	隔著作
隔著名	隔著名
隔著書	隔著书
隔著稱	隔著称
隔著者	隔著者
隔著述	隔著述
隔著錄	隔著录
隨著	随着
隨著作	随著作
隨著名	随著名
隨著書	随著书
隨著稱	随著称
隨著者	随著者
隨著述	随著述
隨著錄	随著录
隻字片語	只字片语
隻言片語	只言片语
雅爾達	雅尔塔
雅穆索戈	亚穆苏克罗
雅著	雅着
雅著作	雅著作
雅著名	雅著名
雅著書	雅著书
雅著称	雅著称
雅著稱	雅著称
雅著者	雅著者
雅著述	雅著述
雅著錄	雅著录
雜著	杂着
雜著作	杂著作
雜著名	杂著名
雜著書	杂著书
雜著稱	杂著称
雜著者	杂著者
雜著述	杂著述
雜著錄	杂著录
雜訊	噪声
雷伊泰灣	莱特湾
雷射	激光
雷諾瓦	雷诺阿
電單車	摩托车
電晶體	晶体管
電腦程式	计算机程序
電視劇集	电视剧
電視影集	电视系列剧
霍爾斯坦	荷尔斯泰因
非份	非分
非同步	异步
靠著	靠着
靠著作	靠著作
靠著名	靠著名
靠著稱	靠著称
靠著者	靠著者
靠著述	靠著述
靠著錄	靠著录
韌體	固件
韓戰	朝鲜战争
音效卡	声卡
音樂錄影帶	音乐录影带
響著	响着
響著作	响著作
響著名	响著名
響著書	响著书
響著稱	响著称
響著者	响著者
響著述	响著述
響著錄	响著录
頂著	顶着
頂著作	顶著作
頂著名	顶著名
頂著書	顶著书
頂著稱	顶著称
頂著者	顶著者
頂著述	顶著述
頂著錄	顶著录
順著	顺着
順著作	顺著作
順著名	顺著名
順著書	顺著书
順著稱	顺著称
順著者	顺著者
順著述	顺著述
順著錄	顺著录
領著	领着
領著作	领著作
領著名	领著名
領著書	领著书
領著稱	领著称
領著者	领著者
領著述	领著述
領著錄	领著录
頻寬	带宽
顯示卡	显卡
顯著	显著
颳著	刮着
飃著	飘着
飄著	飘着
飄著作	飘著作
飄著名	飘著名
飄著書	飘著书
飄著稱	飘著称
飄著者	飘著者
飄著述	飘著述
飄著錄	飘著录
飛彈	导弹
餘	余
馬利共和國	马里共和国
馬勒當拿	马拉多纳
馬拉威	马拉维
馬拉度納	马拉多纳
馬斯垂克	马斯特里赫特
馬爾他	马耳他
馬爾地夫	马尔代夫
駕著	驾着
駕著作	驾著作
駕著名	驾著名
駕著書	驾著书
駕著稱	驾著称
駕著者	驾著者
駕著述	驾著述
駕著錄	驾著录
駛著	驶着
騎著	骑着
騎著作	骑著作
騎著名	骑著名
騎著書	骑著书
騎著稱	骑著称
騎著者	骑著者
騎著述	骑著述
騎著錄	骑著录
騙著	骗着
騙著作	骗著作
騙著名	骗著名
騙著書	骗著书
騙著稱	骗著称
騙著者	骗著者
騙著述	骗著述
騙著錄	骗著录
高畫質	高清
高著	高着
高著作	高著作
高著名	高著名
高著書	高著书
高著称	高著称
高著稱	高著称
高著者	高著者
高著述	高著述
高著錄	高著录
鬥著	斗着
鬥著作	斗著作
鬥著名	斗著名
鬥著書	斗著书
鬥著稱	斗著称
鬥著者	斗著者
鬥著述	斗著述
鬥著錄	斗著录
鬧著	闹着
魚雷	鱼雷
鱼雷	鱼雷
鹽份	盐分
鹿寮	鹿寮
麥寮	麦寮
麻薩諸塞	马萨诸塞
麼著	么着
黎克特制	里氏
黏著	黏着
黏著作	黏著作
黏著名	黏著名
黏著書	黏著书
黏著稱	黏著称
黏著者	黏著者
黏著述	黏著述
黏著錄	黏著录
黛安娜	戴安娜
點著	点着
點著作	点著作
點著名	点著名
點著稱	点著称
點著者	点著者
點著述	点著述
點著錄	点著录
點陣圖	位图
